司法院主管(含財團法人)111年第四季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,國民法官:峮峮，這是我們的時刻篇30秒影片廣告製作,,電視及網路媒體素材製作,影片111年10月起至授權期限屆滿,,,,1539593,,,僅製作未刊登,
,峮峮社群平台分享國民法官影片訊息,,網路媒體,111年10月27日,,,,,,,Facebook、Instagram,
,國民法官圖文創作多圖,,網路媒體,111年10月18日,,,,277941,,,圖文畫家-八耐舜子IG及臉書平台,
,國民法官:峮峮，這是我們的時刻篇30秒影片新聞稿上刊,,網路媒體,111年10月22日,,,,0,,,三立新聞網、LINE TODAY、引新聞、Yahoo雅虎、POPDAILY波波黛莉、經濟日報、蕃新聞、PCHOME、HiNet、LIFE、台北郵報、工商時報,加值回饋
司法院,國民法官:峮峮，這是我們的時刻篇30秒影片廣告,111年國民法官制度網路、平面、家外媒體宣導案,網路媒體,111年10月29日至11月25日,新聞及法治宣導處,總預算,一般行政,0,三立電視股份有限公司,向民眾廣為宣導,三立新聞網 側欄內頁影音大看板,加值回饋
,有關國民法官制度公共資訊服務-公共資訊文字10式（新聞跑馬燈）,,電視媒體,111年10月29日至12月4日,,,,,,,三立新聞臺 新聞時段,加值回饋
,Podcast節目口播國民法官宣導訊息1則,,廣播＋網路媒體,111年10月31日,,,,,,,Podcast節目「吳淡如人生實用商學院」,加值回饋
,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」、「國民法官：許效舜篇30秒」影片廣告（各30秒）,無,電視媒體,111年10月20日至11月19日,,,,0,行政院新聞傳播處,,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費
,,,,111年11月20日至12月19日,,,,,,,,
,託播「許效舜×國民法官廣播(福州伯篇30秒)」,無,廣播媒體,111年11月1日至11月30日,,,,,,,全國廣播電臺,行政院公益託播無收費
,"Dcard尋奇影片1支
Dcard調查局影片1支
Dcard法普推廣文章3篇",司法院111年校園法治多媒體行銷採購案,網路媒體,111年10月1日至12月31日,,,司法業務規劃研考,1690000,狄卡科技股份有限公司,從貼近民眾日常生活的法律議題出發，規劃校園街訪影片、法普文章及其推廣，藉此提供年輕學子正確法律觀點，加強校園法治教育，期以拉進與司法的距離。,網站、Youtube、FB社群平台,
